Marca temporal,Perfil principal,Edad aproximada,Cantidad de trabajo en el que se necesita uso de pantalla,Carga de trabajo o estudio total durante las últimas semanas,Calidad de sueño: teniendo en cuanta tanto la cantidad como la calidad,Tiempo frente a la pantalla por motivos de estudio o trabajo,Tiempo aproximado frente a pantallas fuera del trabajo o estudio,"Ambiente laboral/estudio: ¿cuánto apoyo sientes por parte de compañeros, familia, profesores o entorno cercano?  ","Durante una jornada normal, ¿cuántas pausas reales de 5–10 minutos haces para desconectar?","Durante las últimas semanas, ¿qué nivel de agotamiento has percibido con respecto a el trabajo/estudio?","Durante las últimas dos semanas, he sentido que me costaba recuperar energía después de estudiar o trabajar.","Agotamiento emocional: Durante las últimas dos semanas, he sentido menos interés o motivación por mis tareas habituales.","Eficacia personal: durante las últimas dos semanas, he sentido que soy capaz de cumplir adecuadamente con mis responsabilidades.","Dificultad para desconectar: ¿Te cuesta desconectar del móvil, correo, campus virtual o herramientas de trabajo fuera de tu horario?",Presión digital externa: ¿Recibes notificaciones relacionadas con estudio/trabajo fuera de tu horario habitual?,¿Te gustaría recibir recomendaciones de desconexión digital si el sistema detecta riesgo moderado o alto?,¿Qué tipo de recomendación te resultaría más útil?
29/04/2026 12:35:57,Ambas,25–35,Alta,Manejable,Aceptable,Alto(2-6h),Alto(2-6h),Mucho,Mínimo (1-2),Ordinario,Algunas veces,Esporádicamente,Alta,Baja difcultad,Ocasionalmente,Si,Pantallas
29/04/2026 12:43:02,Estudiante,18–25,Alta,Manejable,Pobre,Alto(2-6h),Alto(2-6h),Mucho,Mínimo (1-2),Elevado,Algunas veces,Esporádicamente,Alta,Alta dicultad,Ocasionalmente,Si,Pausas
29/04/2026 19:28:45,Estudiante,18–25,Alta,Manejable,Pobre,Excesivo(>6h),Alto(2-6h),Neutro,Mínimo (1-2),Elevado,Algunas veces,Frecuentemente,Moderada,Alta dicultad,Constantemente,Si,Pausas
29/04/2026 19:32:21,Estudiante,18–25,Alta,Abrumadora,Pobre,Alto(2-6h),Medio(1-2h),Neutro,Bastantes(2-4),Elevado,A veces,Esporádicamente,Moderada,Moderada,Ocasionalmente,Si,Sueño
29/04/2026 19:47:07,Estudiante,18–25,Alta,Abrumadora,Aceptable,Alto(2-6h),Medio(1-2h),Mucho,Mínimo (1-2),Elevado,A veces,Esporádicamente,Alta,Moderada,Constantemente,Si,Organización
29/04/2026 20:10:28,Estudiante,18–25,Alta,Manejable,Pobre,Alto(2-6h),Medio(1-2h),Neutro,Mínimo (1-2),Ordinario,Algunas veces,Escasamente,Baja,Moderada,Ocasionalmente,Si,Pantallas
29/04/2026 22:57:09,Estudiante,18–25,Alta,Manejable,Aceptable,Alto(2-6h),Medio(1-2h),Mucho,Bastantes(2-4),Ordinario,Algunas veces,Frecuentemente,Moderada,Baja difcultad,Ocasionalmente,No,Organización
29/04/2026 23:08:05,Estudiante,18–25,Alta,Abrumadora,Aceptable,Excesivo(>6h),Alto(2-6h),Mucho,Bastantes(2-4),Elevado,Algunas veces,Frecuentemente,Moderada,Alta dicultad,Raramente,No,Organización
29/04/2026 23:08:30,Estudiante,18–25,Alta,Ligera,Aceptable,Medio(1-2h),Excesivo(>6),Poco,Bastantes(2-4),Ínfimo,A veces,Frecuentemente,Baja,Alta dicultad,Ocasionalmente,No,Pausas
29/04/2026 23:09:25,Estudiante,18–25,Alta,Manejable,Aceptable,Medio(1-2h),Alto(2-6h),Mucho,Mínimo (1-2),Ordinario,Casi nunca,Esporádicamente,Alta,Baja difcultad,Raramente,No,Apoyo social
